	Low-Range	Mid-Range	High-Range	Husky/Throaty	Thick	Thin	Warm	Lonely	Passion	Pretty	Sad	Bright	Clear	Relaxed	Cute	Dark	Delicate	Emotional	Energetic	Male	Female	Mild/Soft	Charismatic	Whisper/Quiet	Sharp	Pure	Rich	Robotic/Artificial	Rounded	Embellishing	Stable	Sweet	Young	Soulful/R&B	 Ballad	Shouty	Vibrato	Falsetto	Breathy	Compressed	Dynamic	Speech-Like
58a676c9530a69823b4ae764	0	2	0	0	0	3	1	0	2	3	0	2	3	0	2	0	2	0	2	0	3	1	1	0	2	1	0	0	0	1	1	2	2	0	0	0	1	2	2	1	1	0
58a676cf530a69823b4ae766	0	1	0	0	0	3	1	0	0	2	0	3	3	0	0	0	1	1	0	0	3	1	1	0	3	1	0	1	0	2	1	2	2	1	0	0	1	1	2	2	2	0
58a676cc530a69823b4ae765	0	1	0	0	0	3	1	0	1	3	0	3	2	1	3	0	2	1	0	0	3	1	0	1	2	1	0	0	0	1	1	1	2	0	0	1	0	1	3	1	1	0
58a676d6530a69823b4ae768	0	2	0	0	0	3	0	0	2	3	0	3	2	0	1	0	0	0	1	0	3	0	1	0	1	0	0	2	0	1	1	0	2	0	0	0	1	1	1	2	0	0
58a676d3530a69823b4ae767	1	2	0	1	1	2	0	1	2	0	1	0	1	0	0	3	0	1	3	0	3	0	2	2	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	2	1	0
58a676d9530a69823b4ae769	0	1	0	0	0	2	2	0	0	2	0	2	3	1	3	0	0	0	1	0	3	3	0	0	0	0	0	3	0	1	1	2	2	0	0	0	1	1	2	2	0	0
58a676db530a69823b4ae76a	0	2	0	1	1	2	1	3	0	0	3	0	1	1	0	1	2	3	1	0	3	3	0	1	1	0	1	0	2	0	2	0	1	1	3	0	1	1	2	0	1	0
58a676df530a69823b4ae76b	1	2	0	0	0	2	3	3	0	1	3	0	1	2	0	0	2	3	2	0	3	3	1	1	0	0	2	0	1	0	2	0	1	1	3	1	0	1	3	0	2	0
58a676e2530a69823b4ae76c	2	1	1	1	1	1	1	3	0	1	3	0	1	1	0	2	3	3	0	0	3	2	0	2	0	1	1	0	0	0	2	0	1	0	3	1	0	1	3	1	1	1
58a676e5530a69823b4ae76d	1	2	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	2	2	0	2
58a676e8530a69823b4ae76e	2	2	0	3	1	0	1	2	1	0	1	0	0	0	0	0	0	2	2	3	0	2	2	1	1	0	0	1	0	1	1	0	1	0	1	2	0	1	2	2	2	0
58a676eb530a69823b4ae76f	2	1	0	2	3	0	0	1	2	0	0	0	1	0	0	2	0	0	3	3	0	1	2	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	2	1	2	0
58a676ee530a69823b4ae770	3	0	0	3	2	0	0	3	0	0	1	0	0	1	0	1	0	2	2	3	0	1	2	0	0	0	0	0	0	0	1	0	1	1	1	2	0	0	1	0	3	0
58a676f1530a69823b4ae771	1	2	0	2	2	1	1	3	0	0	1	0	1	1	0	0	0	2	1	3	0	2	2	0	1	0	0	0	0	0	2	0	1	0	3	1	0	0	1	1	1	0
58a676f5530a69823b4ae772	0	2	0	0	0	2	3	3	0	0	2	0	2	3	0	0	2	3	0	3	0	3	0	2	0	1	2	0	3	0	3	3	1	0	3	0	0	1	3	1	0	2
58a676f8530a69823b4ae773	0	2	0	0	0	2	3	3	0	0	3	0	2	3	0	0	2	3	0	3	0	3	0	2	1	2	1	0	3	0	3	3	1	0	3	0	0	2	3	1	0	2
58a676fb530a69823b4ae774	0	2	0	0	0	2	3	2	0	1	2	0	2	3	0	0	1	3	1	3	0	3	0	1	0	1	1	0	3	0	3	2	1	1	3	0	0	2	3	1	1	2
58a676fe530a69823b4ae775	0	2	0	1	0	2	3	3	0	0	2	0	2	3	0	0	2	3	0	3	0	3	0	2	0	2	1	0	2	1	2	2	1	0	3	0	0	2	3	1	1	2
58a67701530a69823b4ae776	0	2	0	1	0	1	3	3	0	0	3	0	1	3	0	0	1	3	0	3	0	3	0	0	0	0	1	0	1	0	2	2	1	0	3	0	0	1	3	0	1	2
58a67704530a69823b4ae777	0	2	0	0	0	1	3	3	0	1	3	0	1	3	0	0	2	2	0	0	3	2	0	2	1	0	1	0	2	0	2	1	1	0	3	0	0	2	3	0	0	2
58a67707530a69823b4ae778	1	2	0	1	2	0	2	2	1	0	1	0	2	0	0	2	0	3	2	0	3	2	2	1	1	0	2	0	2	0	3	0	1	1	2	0	0	0	2	0	1	2
58a6770a530a69823b4ae779	0	1	0	0	0	2	1	2	0	0	2	0	1	1	0	2	3	3	0	0	3	2	0	1	0	3	1	0	1	1	2	0	1	1	3	0	0	2	3	0	0	1
58a6770d530a69823b4ae77a	0	2	1	1	2	0	1	0	3	0	0	0	1	0	0	0	0	0	3	0	3	0	2	0	1	0	0	0	0	0	1	0	1	1	0	2	0	0	2	1	3	0
58a67710530a69823b4ae77b	0	2	0	1	2	0	0	0	2	0	0	0	2	0	0	0	0	0	3	0	3	0	2	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	1	1	3	0
58a67713530a69823b4ae77c	1	2	1	1	1	0	1	3	1	0	1	0	0	0	0	2	0	0	2	0	3	0	2	0	1	0	2	0	0	0	0	0	1	2	1	1	1	0	2	1	2	0
58a67716530a69823b4ae77d	0	2	0	0	0	1	3	2	1	1	1	0	2	2	0	0	3	2	2	0	3	2	2	3	1	1	2	0	1	0	1	0	1	1	3	2	0	2	3	0	2	2
58a67719530a69823b4ae77e	1	0	0	1	1	2	0	2	2	0	1	0	1	0	0	0	1	2	3	0	3	0	2	1	2	0	1	0	0	1	1	0	1	3	0	3	1	1	2	1	3	0
58a6771c530a69823b4ae77f	0	2	0	1	1	1	0	1	2	1	1	2	2	0	0	0	1	2	3	0	3	0	2	1	2	0	3	0	0	0	1	0	1	3	2	2	1	1	3	1	3	0
58a6771f530a69823b4ae780	0	2	0	1	0	2	2	0	1	0	0	2	3	1	0	0	2	1	3	3	0	2	1	0	2	1	1	0	1	1	1	1	1	0	0	3	0	0	2	1	3	0
58a67722530a69823b4ae781	0	1	0	1	0	1	0	1	2	0	0	2	3	0	0	0	1	1	1	3	0	1	2	0	1	0	1	0	0	1	1	1	1	1	1	2	1	0	3	0	3	0
58a67725530a69823b4ae782	0	2	0	1	0	2	1	1	1	0	0	3	2	0	0	0	2	2	0	3	0	2	1	1	1	0	0	1	0	0	2	1	1	0	2	0	0	0	3	2	0	1
58a67728530a69823b4ae783	0	2	0	0	0	1	2	2	0	1	1	2	3	2	1	0	3	1	0	3	0	3	0	0	0	0	0	1	1	1	2	2	1	0	1	1	0	2	2	1	0	1
58a6772b530a69823b4ae784	0	2	0	1	0	2	1	1	1	0	1	2	1	0	0	0	1	1	1	3	0	2	1	0	1	0	0	0	0	2	2	1	1	2	0	1	0	1	2	1	2	0
58a6772f530a69823b4ae785	0	1	0	1	0	1	1	3	0	1	3	0	1	1	0	0	3	3	2	0	3	2	0	0	2	0	2	0	1	1	0	0	1	1	2	2	1	0	2	1	2	0
58a67731530a69823b4ae786	0	1	0	1	0	2	2	3	0	1	2	0	0	2	0	0	2	3	1	0	3	2	0	1	0	0	2	0	1	0	1	0	1	1	3	1	1	1	3	0	1	1
58a67735530a69823b4ae787	0	0	0	1	1	1	0	2	0	0	1	0	0	1	0	1	2	3	2	0	3	2	2	2	0	0	2	0	1	1	1	0	1	1	1	1	0	2	3	0	3	0
58a67738530a69823b4ae788	0	1	0	0	0	1	0	3	1	0	3	0	0	0	0	1	2	3	2	0	3	0	2	2	2	0	2	0	1	1	0	0	1	0	3	2	1	1	3	0	2	1
58a6773b530a69823b4ae789	0	1	0	1	1	0	0	3	1	0	3	0	0	0	0	1	1	2	3	0	3	0	2	1	2	0	1	0	1	0	0	0	1	0	3	2	1	1	1	0	2	0
58a6773d530a69823b4ae78a	0	2	0	1	0	3	0	0	3	0	0	1	0	0	0	0	0	0	3	3	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	3	0
58a67740530a69823b4ae78b	0	2	0	1	0	3	0	1	0	1	0	1	1	0	0	0	0	2	2	3	0	0	1	0	3	0	0	1	0	0	1	0	1	0	0	0	0	1	2	1	1	0
58a67743530a69823b4ae78c	0	2	0	1	0	3	0	0	3	0	0	2	1	0	0	0	0	0	2	3	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0
58a67746530a69823b4ae78d	0	2	0	0	0	3	1	1	0	2	1	3	2	2	0	0	2	2	0	3	0	3	0	1	2	1	0	0	1	1	1	1	0	0	3	0	0	2	2	1	0	2
58a67749530a69823b4ae78e	0	2	0	1	0	3	0	3	0	0	2	1	2	2	0	0	3	3	0	3	0	3	0	1	0	1	1	0	1	1	1	0	1	0	3	0	0	2	2	1	0	1
58a6774c530a69823b4ae78f	0	1	0	0	0	2	0	0	0	2	0	3	3	2	3	0	0	0	1	0	3	1	0	1	0	3	0	0	1	1	3	1	3	0	0	0	1	0	1	1	0	2
58a6774f530a69823b4ae790	0	1	0	0	0	2	0	0	0	2	0	3	3	1	3	0	0	0	0	0	3	1	0	1	0	3	0	0	1	1	3	1	3	0	0	0	1	0	1	1	0	2
58a67752530a69823b4ae791	0	1	1	1	0	1	0	0	3	0	0	1	0	0	0	1	0	0	1	0	3	0	3	2	0	0	0	0	0	2	1	0	1	0	0	0	0	1	1	3	0	1
58a67755530a69823b4ae792	0	2	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	3	0	2	1	0	0	0	1	0	1	2	0	1	0	0	0	0	1	2	1	1	1
58a67758530a69823b4ae793	0	0	1	0	0	1	3	1	0	3	0	0	1	3	0	0	1	2	0	0	3	3	0	2	0	2	0	0	2	0	3	3	1	0	3	0	0	2	2	0	0	1
58a6775b530a69823b4ae794	0	0	0	1	0	2	2	1	0	2	1	2	2	2	0	0	3	3	0	0	3	2	0	2	0	2	1	0	1	0	2	2	1	0	3	0	0	2	2	0	0	1
58a6775e530a69823b4ae795	0	0	0	0	0	2	2	0	0	3	0	3	2	2	3	0	1	0	0	0	3	2	0	1	0	3	0	0	2	1	2	2	3	0	1	0	0	1	3	0	0	2
58a67761530a69823b4ae796	0	2	0	0	0	2	1	0	1	0	0	1	1	2	0	0	2	2	0	3	0	2	1	2	1	0	2	0	2	0	3	2	1	2	2	0	0	1	3	1	0	2
58a67764530a69823b4ae797	0	1	0	0	0	3	1	2	0	0	0	0	2	1	0	0	3	3	2	3	0	3	0	1	2	0	1	0	1	1	3	0	1	3	1	1	0	1	3	1	3	1
58a67768530a69823b4ae798	0	1	1	0	0	3	1	3	0	0	1	0	1	2	0	0	3	3	1	3	0	3	1	1	1	0	0	0	2	0	2	0	1	2	2	2	0	0	0	2	2	2
58a6776b530a69823b4ae799	0	2	1	0	0	3	1	3	0	0	3	0	1	1	0	0	3	3	1	3	0	2	0	2	1	1	0	0	2	0	3	0	1	2	2	2	0	1	2	2	0	1
58a6776e530a69823b4ae79a	0	1	0	0	0	3	0	3	1	0	1	0	1	1	0	0	2	2	0	3	0	3	0	1	1	0	0	0	1	0	2	0	1	2	2	0	0	0	1	2	0	0
58a67771530a69823b4ae79b	0	2	0	2	0	2	1	2	0	0	0	0	1	2	0	0	2	3	0	3	0	2	0	1	1	1	0	0	1	1	2	1	1	0	2	0	0	3	3	0	0	1
58a67773530a69823b4ae79c	0	3	0	0	0	1	0	3	0	0	3	0	2	1	0	0	1	3	1	3	0	2	1	1	0	1	1	0	2	0	3	1	1	0	2	0	0	0	3	0	0	1
58a67776530a69823b4ae79d	0	2	0	0	0	2	1	3	0	1	1	0	2	1	0	0	2	3	1	3	0	3	0	1	0	1	2	0	1	1	3	1	1	0	3	0	0	2	3	1	0	1
58a67779530a69823b4ae79e	0	3	0	0	0	1	0	2	2	0	1	0	2	1	0	0	1	2	2	3	0	1	1	1	0	1	2	0	1	0	3	1	1	0	1	0	0	1	3	1	2	2
58a6777c530a69823b4ae79f	0	2	0	0	0	1	2	2	0	1	2	0	1	2	0	1	2	2	0	3	0	2	0	2	0	1	1	0	1	0	2	1	1	0	3	1	1	2	3	1	0	1
58a6777f530a69823b4ae7a0	0	2	0	1	0	2	0	0	2	0	0	1	1	0	0	0	1	1	1	3	0	0	1	1	2	0	0	0	0	0	1	0	2	0	1	0	0	2	3	1	0	0
58a67782530a69823b4ae7a1	0	2	0	1	0	2	0	1	1	0	0	0	1	0	0	0	2	2	1	3	0	2	1	1	2	0	0	0	0	1	2	0	2	0	1	0	0	2	3	0	0	0
58a67785530a69823b4ae7a2	0	2	0	1	0	3	0	1	1	0	0	1	1	0	0	0	2	0	0	3	0	3	0	2	2	1	0	0	0	0	1	0	3	1	1	0	0	2	3	0	0	0
58a67788530a69823b4ae7a3	0	2	0	1	0	3	0	0	1	0	0	0	1	0	0	0	2	1	0	3	0	2	0	1	2	1	0	1	0	1	2	0	3	1	1	0	0	2	3	2	1	1
58a6778b530a69823b4ae7a4	0	2	0	0	0	2	2	2	0	1	1	0	2	3	0	0	3	2	0	3	0	3	0	3	0	2	0	0	0	0	2	0	2	0	3	0	0	1	3	0	0	2
58a6778e530a69823b4ae7a5	0	0	0	0	0	2	0	0	0	3	0	3	3	0	3	0	1	0	1	0	3	1	0	0	0	3	0	0	1	1	2	2	3	0	1	0	0	1	2	1	0	1
58a67791530a69823b4ae7a6	0	0	0	0	0	2	0	1	0	2	0	1	1	0	0	0	1	2	0	0	3	1	0	0	2	1	0	0	1	1	2	0	3	0	1	1	0	0	1	2	1	0
58a67794530a69823b4ae7a7	0	1	0	0	0	3	1	2	0	2	0	2	3	3	0	0	2	3	1	0	3	2	0	0	1	3	0	0	1	1	2	0	1	0	3	0	0	0	1	1	2	0
58a6779a530a69823b4ae7a9	0	0	1	0	0	3	1	1	0	2	0	3	2	2	2	0	2	1	0	0	3	3	0	1	2	2	0	0	1	1	3	1	3	0	1	0	0	1	1	3	0	0
58a67797530a69823b4ae7a8	0	0	1	0	0	3	0	0	2	1	0	1	1	0	1	0	0	0	3	0	3	1	0	0	2	1	0	0	0	1	2	1	3	0	1	1	0	1	1	2	2	0
58a677a0530a69823b4ae7ab	0	2	0	1	1	0	1	0	3	0	0	1	0	0	0	0	0	0	3	3	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0
58a677a3530a69823b4ae7ac	0	2	0	1	0	0	1	0	3	0	0	1	0	0	0	0	0	0	3	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
